,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3783.1479615999697,105574814.74343577,30850882.698647037,0.009183633998195552,120520017.87258536,0.09482497023884322
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3290.6680297754183,116455917.19604217,3198367.94699001,0.0011220626525115809,120520017.87258536,0.09482497023884322
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,0,3,0,0,3,0,0,1626.5211214239685,144202124.1665109,1870865.6509088152,0.0008143429532563179,60248825.27173919,0.048024765149870696
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0.0,91418703.10986844,40730064.144064575,0.04562403249422863,117097322.67769393,0.25528192039489567
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0.0,142176031.18618298,4663337.28596792,0.004978079779207376,30497556.685759142,0.06805321537822612
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,4671.769009393174,88527026.60520792,45989769.51670419,0.018853090018775956,117097322.67769393,0.09190149134216244
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,3,0,0,2,0,0,1987.5211900587292,136404544.20018387,12897732.10236454,0.005498893319925238,60248825.27173919,0.048024765149870696
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0.0,82832405.40838791,43367435.37433128,0.04957863664121518,120359029.07254264,0.2627643770337591
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,2,0,0,0.0,136874165.21921882,20271478.42448019,0.014625470178324084,6333228.623603873,0.0142456671253599
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3761.526534683081,26620087.93698693,252461698.9104512,0.08301340369763917,17179643.453084275,0.013560411831114382
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0.0,144949327.2609077,2853531.189552795,0.002938709817726317,30497556.685759142,0.06805321537822612
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,0,3,0,0,1,0,0,6253.835575699276,130155927.95062314,20823696.449958444,0.0035853522564331932,117097322.67769393,0.03829228805923436
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4179.188954339468,44565922.26143029,198957685.49473372,0.061205442519837595,97680307.15501529,0.07608933776620595
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,1,2,0,0,2,0,0,2675.679970372029,145823374.65181068,930823.8783530348,0.0003259219224194458,100429620.33896998,0.07922490187585238
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,0,0,2,0,0,2637.781997403581,134271936.81324205,15727336.751632852,0.006070169734798352,80339222.80535458,0.06362483351286154
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4236.173908998068,87869680.87678382,43949777.675358,0.015830289415190643,120520017.87258536,0.09482497023884322
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0.0,116455917.19604215,22955941.74795179,0.025980242177168662,117097322.67769393,0.25528192039489567
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0.0,121971791.23315294,1327502.2960811951,0.0008547769423757309,120520017.87258536,0.2634026951078979
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0,65743821.745572075,73962772.52256171,0.08436689185211195,0.0,0.0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,3237.0649556929475,117467197.1058977,1870865.6509088152,0.0008143429532563179,120520017.87258536,0.09482497023884322
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0.0,129819667.07505888,29263197.51378583,0.025355182386354015,30497556.685759142,0.06805321537822612
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0.0,107869619.49456164,22452093.36650528,0.026442874527349274,120359029.07254264,0.2627643770337591
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,6,0,0,3,0,0,4,0,0,0.0,163843098.8098297,0.0,0.0,0.0,0.0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0.0,132975420.39517812,16402706.058149576,0.011693684322849856,80339222.80535458,0.1767356486468376
130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.0,100324497.54279758,30900785.700336915,0.03566524405273771,42830182.451286234,0.09297998486918316
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3511.577305126133,115650990.9234867,7816447.031115033,0.0016822189439966344,120520017.87258536,0.09482497023884322
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4791.819491899967,85097902.80020219,47219008.879098415,0.01779915094266368,117097322.67769393,0.09190149134216244
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,0,1,0,0,2,0,0,1870.4159799562012,139296220.70484436,8166230.621393374,0.0026186575051381296,60248825.27173919,0.048024765149870696
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0.0,139647461.29394355,18461672.328065064,0.012586100216843024,6333228.623603873,0.0142456671253599
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0.0,134843950.96666119,20046137.158745233,0.014381912440421408,30497556.685759142,0.06805321537822612
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,3171.4231289603927,132975420.39517812,13045009.370086713,0.0033531441267394503,100429620.33896998,0.07922490187585238
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4735.982174634454,81821125.49853238,44694937.67041248,0.018156028890092726,120359029.07254264,0.09459517573215329
